year,make,model,trim,body,transmission,state,condition,odometer,mmr,sellingprice
2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,fl,4.0,21507.0,13450.0,13800.0
2003,Dodge,Ram Pickup 1500,SLT,Quad Cab,,mo,31.0,79712.0,6025.0,6300.0
2007,Pontiac,G6,GT,Convertible,automatic,nj,34.0,65698.0,7375.0,8000.0
2011,Toyota,Corolla,LE,Sedan,automatic,fl,43.0,23634.0,10800.0,11400.0
2012,Lexus,ES 350,Base,Sedan,,pa,35.0,26483.0,22500.0,23300.0
2012,Honda,Civic,EX,Sedan,automatic,pa,34.0,29050.0,12350.0,12700.0
2012,Ford,Focus,SE,Sedan,automatic,il,32.0,39151.0,9525.0,9700.0
2014,Chevrolet,Cruze,LS,Sedan,automatic,tx,49.0,11831.0,12050.0,13100.0
2011,Jeep,Wrangler,Sahara,SUV,automatic,ut,42.0,35826.0,22700.0,18850.0
2005,Ford,Econoline Cargo,E-250,Van,automatic,mn,21.0,212261.0,2625.0,1000.0
2012,Ford,Fusion,SEL,Sedan,automatic,ca,28.0,58776.0,10750.0,11200.0
2013,Dodge,Dart,Limited,Sedan,manual,pa,42.0,10535.0,14500.0,13900.0
2012,Mercedes-Benz,GLK-Class,GLK350 4MATIC,SUV,automatic,nj,38.0,17101.0,27400.0,28000.0
2013,Hyundai,Sonata,Limited,sedan,,pa,34.0,32960.0,15650.0,14500.0
2002,Dodge,Durango,SLT,suv,,md,38.0,144343.0,1775.0,1300.0
2012,Chevrolet,Cruze,1LT,Sedan,automatic,tx,26.0,57590.0,9850.0,9100.0
2008,Mercury,Mountaineer,Premier,SUV,automatic,va,47.0,80528.0,11000.0,11900.0
2013,Mazda,Mazda3,i Touring,Hatchback,automatic,mo,42.0,36620.0,12300.0,12500.0
2014,Kia,Rio,LX,Sedan,,ga,47.0,13291.0,12000.0,11400.0
2011,Nissan,Rogue,SV,SUV,,qc,46.0,23768.0,11250.0,14200.0
2008,Ford,Focus,SE,Sedan,automatic,ma,25.0,124540.0,4000.0,2000.0
2007,Saturn,Aura,XE,Sedan,automatic,fl,24.0,140350.0,3175.0,3300.0
2015,Chrysler,200,C,Sedan,automatic,fl,25.0,2789.0,18450.0,15200.0
2006,Jeep,Grand Cherokee,Overland,SUV,automatic,tx,29.0,119655.0,6475.0,7400.0
2012,Ford,F-150,FX4,SuperCrew,automatic,mo,43.0,28806.0,32300.0,32500.0
2008,Volvo,XC90,3.2,suv,automatic,mi,29.0,132767.0,5725.0,7000.0
2014,Ford,Focus,SE,Hatchback,automatic,tn,47.0,20163.0,12500.0,11400.0
2008,Toyota,Avalon,XLS,Sedan,automatic,nc,25.0,152314.0,6875.0,7700.0
2013,Audi,S5,Prestige quattro,coupe,manual,pa,37.0,39275.0,39300.0,39200.0
2012,Honda,Accord,SE,sedan,automatic,fl,4.0,28053.0,12850.0,14700.0
2013,Lexus,RX 350,Base,SUV,,pa,44.0,43662.0,30600.0,32000.0
2006,Chevrolet,Silverado 1500,LT3,Crew Cab,automatic,tn,19.0,93730.0,10950.0,7900.0
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,tn,42.0,20025.0,22300.0,24000.0
2013,BMW,X1,xDrive28i,suv,,oh,36.0,15459.0,26100.0,26500.0
2011,BMW,3 Series,328i,Convertible,automatic,ca,23.0,21096.0,26300.0,24500.0
2011,Ford,Ranger,XL,Regular Cab,automatic,oh,43.0,62062.0,9625.0,9000.0
2011,Nissan,Altima,2.5 S,sedan,automatic,ms,34.0,113146.0,6575.0,7500.0
2005,Buick,LaCrosse,CXS,Sedan,automatic,fl,19.0,147787.0,3925.0,1800.0
2012,Honda,Accord,EX-L,Sedan,automatic,pa,28.0,40278.0,14750.0,13000.0
2009,Saturn,Aura,XE,Sedan,automatic,co,27.0,179712.0,1550.0,1600.0
2013,Nissan,Pathfinder,SV,SUV,automatic,mn,36.0,56051.0,19100.0,19100.0
2008,Mazda,Mazda3,i Sport,sedan,automatic,tx,26.0,77963.0,4950.0,4400.0
2009,Honda,Civic,EX,Sedan,automatic,oh,27.0,72899.0,8975.0,9000.0
2009,Chrysler,Town and Country,LX,Minivan,automatic,ca,37.0,95305.0,5875.0,5700.0
2007,Ford,Edge,SEL Plus,SUV,,pa,37.0,78896.0,10150.0,11400.0
2013,Volkswagen,CC,Lux PZEV,Sedan,automatic,il,48.0,29578.0,19500.0,22200.0
2012,Mercedes-Benz,M-Class,ML350 4MATIC,SUV,automatic,ca,46.0,49014.0,32000.0,32250.0
1998,Honda,Accord,EX,Sedan,automatic,ca,21.0,287017.0,700.0,1150.0
2004,Chevrolet,Suburban,1500 LS,SUV,automatic,sc,26.0,169982.0,4375.0,4600.0
2012,Honda,Pilot,LX,SUV,automatic,ga,34.0,34930.0,19550.0,18200.0
2012,Nissan,Altima,2.5 S,Coupe,,pa,4.0,34341.0,13400.0,15300.0
2011,Mitsubishi,Outlander Sport,ES,SUV,automatic,fl,19.0,90435.0,8675.0,7100.0
2013,Ford,Fusion,SE,sedan,automatic,wi,37.0,81117.0,9925.0,10900.0
2014,Subaru,Outback,2.5i Limited PZEV,wagon,automatic,nj,43.0,7308.0,27900.0,29200.0
2006,Hyundai,Sonata,LX,Sedan,automatic,tx,22.0,126938.0,3525.0,2700.0
2013,Chevrolet,Black Diamond Avalanche,LS,Crew Cab,automatic,fl,35.0,38055.0,25400.0,25100.0
2013,Nissan,Altima,2.5,Sedan,automatic,mn,35.0,54357.0,12100.0,11900.0
2012,Volkswagen,Golf,2.5L PZEV,Hatchback,,pa,39.0,54623.0,9725.0,9300.0
2003,Jeep,Liberty,Sport,SUV,automatic,ca,,123954.0,3250.0,3600.0
2006,Chevrolet,Malibu,LT,sedan,automatic,ms,19.0,146775.0,2025.0,3100.0
2015,Kia,Sorento,LX,SUV,automatic,wi,49.0,10091.0,21100.0,20800.0
2013,Nissan,Altima,2.5,Sedan,automatic,ca,42.0,47587.0,12700.0,12500.0
2005,Mercedes-Benz,C-Class,C55 AMG,Sedan,automatic,mo,36.0,79483.0,11200.0,12000.0
2012,Nissan,Altima,2.5 S,Sedan,automatic,tx,32.0,21237.0,12750.0,13800.0
2012,Honda,Accord,EX-L,Sedan,automatic,il,23.0,42839.0,14450.0,13000.0
2010,Volkswagen,Jetta,Limited Edition PZEV,Sedan,automatic,ca,1.0,111028.0,4800.0,4500.0
2013,Toyota,Corolla,LE,Sedan,automatic,mo,41.0,44562.0,11400.0,11600.0
2006,Hyundai,Accent,GLS,Sedan,automatic,ga,37.0,138486.0,2150.0,2800.0
2005,MINI,Cooper,Base,Convertible,automatic,ca,39.0,126850.0,3525.0,3600.0
2013,BMW,6 Series Gran Coupe,640i,sedan,automatic,ca,44.0,33756.0,47600.0,49700.0
2000,BMW,7 Series,740i,Sedan,automatic,nc,21.0,157911.0,2300.0,1800.0
2013,Ford,Escape,SE,SUV,automatic,ca,28.0,64958.0,14350.0,13500.0
2002,Ford,Explorer,XLS,SUV,,ga,27.0,131457.0,2050.0,1500.0
2007,Audi,A3,2.0T,Wagon,manual,fl,42.0,60173.0,9375.0,10000.0
2013,Toyota,Corolla,LE,Sedan,automatic,il,33.0,26997.0,12250.0,11800.0
2011,Toyota,Sienna,XLE 8-Passenger,Minivan,automatic,ca,42.0,88751.0,16700.0,20000.0
2014,Ram,1500,Tradesman,regular cab,,tx,38.0,23362.0,18650.0,18600.0
2012,Chrysler,200,LX,Sedan,automatic,mi,38.0,55639.0,8950.0,9401.0
2014,Chevrolet,Traverse,LT,SUV,automatic,il,4.0,19172.0,28700.0,26900.0
2009,Ford,Flex,SEL,Wagon,automatic,mi,38.0,70111.0,12150.0,13700.0
2014,Chevrolet,Impala,LS Fleet,Sedan,automatic,fl,3.0,22985.0,16450.0,19400.0
2011,Mazda,CX-9,Touring,SUV,automatic,fl,34.0,81010.0,13100.0,11900.0
2013,Mercedes-Benz,S-Class,S550 4MATIC,Sedan,automatic,tn,37.0,21720.0,49400.0,47500.0
2013,Nissan,Rogue,SV,SUV,automatic,az,37.0,51287.0,13100.0,12700.0
2010,Ford,F-150,XLT,SuperCab,automatic,oh,38.0,58433.0,16800.0,16000.0
2014,Lincoln,MKS,Base,sedan,automatic,mo,44.0,35615.0,22900.0,23000.0
2011,Ford,F-150,XLT,SuperCrew,automatic,tx,44.0,45664.0,23300.0,24200.0
2009,Ford,Taurus,SEL,Sedan,automatic,va,36.0,130174.0,4025.0,3400.0
